요금제명,입실,퇴실,이용,위치,금액,구분,고객
한국대생 무제한 입장권,2022-03-31 19:05,2022-03-31 23:43,오전 4:38:00,선불기2,8400,퇴실,customer235740
한국대생 무제한 입장권,2022-03-31 18:57,2022-04-01 8:22,오후 1:24:00,선불기2,7900,퇴실,customer569715
한국대생 무제한 입장권,2022-03-31 18:57,2022-04-01 8:22,오후 1:24:00,선불기2,6400,퇴실,customer569715
기간권,2022-03-31 18:00,2022-03-31 22:01,오전 4:01:00,선불기2,0,퇴실,customer475199
기간권,2022-03-31 17:57,2022-04-01 2:01,오전 8:04:00,선불기2,0,퇴실,customer300766
한국대생 무제한 입장권,2022-03-31 17:01,2022-03-31 18:30,오전 1:29:00,선불기2,6400,퇴실,customer952807
한국대생 무제한 입장권,2022-03-31 17:01,2022-03-31 18:30,오전 1:29:00,선불기2,6900,퇴실,customer952807
한국대생 무제한 입장권,2022-03-31 16:58,2022-03-31 22:57,오전 5:59:00,선불기2,7400,퇴실,customer803320
한국대생 무제한 입장권,2022-03-31 16:58,2022-03-31 22:57,오전 5:59:00,선불기2,8400,퇴실,customer803320
무제한 입장권,2022-03-31 16:49,2022-03-31 19:05,오전 2:16:00,선불기2,7900,퇴실,customer931806
시간요금제(1시간),2022-03-31 16:13,2022-03-31 17:26,오전 1:12:00,선불기2,3000,퇴실,customer442243
시간요금제(1시간),2022-03-31 16:13,2022-03-31 17:26,오전 1:12:00,선불기2,3000,퇴실,customer442243
시간요금제(1시간),2022-03-31 16:13,2022-03-31 17:26,오전 1:12:00,선불기2,3000,퇴실,customer442243
한국대생 무제한 입장권,2022-03-31 15:42,2022-03-31 19:00,오전 3:18:00,선불기2,7400,퇴실,customer516059
한국대생 무제한 입장권,2022-03-31 15:42,2022-03-31 19:00,오전 3:18:00,선불기2,6400,퇴실,customer516059
한국대생 무제한 입장권,2022-03-31 13:35,2022-03-31 17:58,오전 4:23:00,선불기2,7400,퇴실,customer556899
한국대생 무제한 입장권,2022-03-31 13:35,2022-03-31 17:58,오전 4:23:00,선불기2,7400,퇴실,customer556899
한국대생 무제한 입장권,2022-03-31 13:31,2022-03-31 15:19,오전 1:48:00,선불기2,7400,퇴실,customer828095
한국대생 무제한 입장권,2022-03-31 13:31,2022-03-31 15:19,오전 1:48:00,선불기2,6900,퇴실,customer828095
한국대생 무제한 입장권,2022-03-31 12:50,2022-03-31 16:38,오전 3:47:00,선불기2,6400,퇴실,customer897964
기간권,2022-03-31 12:24,2022-03-31 18:03,오전 5:39:00,선불기2,0,퇴실,customer827023
한국대생 무제한 입장권,2022-03-31 12:06,2022-03-31 14:01,오전 1:55:00,선불기2,8400,퇴실,customer542922
시간요금제(1시간),2022-03-31 11:59,2022-03-31 14:11,오전 2:12:00,선불기2,3000,퇴실,customer724529
한국대생 무제한 입장권,2022-03-31 11:53,2022-03-31 12:49,오전 12:56:00,선불기2,7900,퇴실,customer408718
한국대생 무제한 입장권,2022-03-31 11:12,2022-03-31 15:43,오전 4:31:00,선불기2,7900,퇴실,customer751113
한국대생 무제한 입장권,2022-03-31 11:12,2022-03-31 14:45,오전 3:33:00,선불기2,8400,퇴실,customer271499
한국대생 무제한 입장권,2022-03-31 11:11,2022-03-31 14:45,오전 3:33:00,선불기2,6900,퇴실,customer396942
한국대생 무제한 입장권,2022-03-31 11:11,2022-03-31 14:45,오전 3:33:00,선불기2,7900,퇴실,customer396942
한국대생 무제한 입장권,2022-03-31 10:44,2022-03-31 13:32,오전 2:48:00,선불기2,6900,퇴실,customer417709
한국대생 무제한 입장권,2022-03-31 10:38,2022-03-31 14:53,오전 4:15:00,선불기2,6400,퇴실,customer393780
무제한 입장권,2022-03-31 10:29,2022-03-31 14:01,오전 3:32:00,선불기2,8400,퇴실,customer949607
무제한 입장권,2022-03-31 10:29,2022-03-31 14:01,오전 3:32:00,선불기2,8400,퇴실,customer949607
시간권,2022-03-31 10:19,2022-03-31 14:09,오전 3:50:00,선불기2,0,퇴실,customer414283
기간권,2022-03-31 9:00,2022-03-31 18:01,오전 9:01:00,선불기2,0,퇴실,customer392176
시간권,2022-03-31 7:23,2022-03-31 8:19,오전 12:56:00,선불기2,0,퇴실,customer414283
시간요금제(1시간),2022-03-31 6:16,2022-03-31 8:43,오전 2:27:00,선불기2,3000,퇴실,customer406481
시간요금제(1시간),2022-03-31 6:16,2022-03-31 8:43,오전 2:27:00,선불기2,3000,퇴실,customer406481
시간권,2022-03-30 22:14,2022-03-30 22:52,오전 12:38:00,선불기2,0,퇴실,customer517629
한국대생 무제한 입장권,2022-03-30 21:22,2022-03-31 0:04,오전 2:41:00,선불기2,6400,퇴실,customer572231
한국대생 무제한 입장권,2022-03-30 21:22,2022-03-31 0:04,오전 2:41:00,선불기2,6400,퇴실,customer572231
한국대생 무제한 입장권,2022-03-30 20:16,2022-03-30 23:37,오전 3:21:00,선불기2,6400,퇴실,customer903463
한국대생 무제한 입장권,2022-03-30 18:00,2022-03-30 19:44,오전 1:44:00,선불기2,6400,퇴실,customer952807
한국대생 무제한 입장권,2022-03-30 18:00,2022-03-30 19:44,오전 1:44:00,선불기2,6400,퇴실,customer952807
한국대생 무제한 입장권,2022-03-30 18:00,2022-03-30 19:44,오전 1:44:00,선불기2,7400,퇴실,customer952807
기간권,2022-03-30 17:55,2022-03-31 2:01,오전 8:06:00,선불기2,0,퇴실,customer300766
기간권,2022-03-30 17:55,2022-03-30 23:10,오전 5:15:00,선불기2,0,퇴실,customer717034
한국대생 무제한 입장권,2022-03-30 17:51,2022-03-30 23:40,오전 5:49:00,선불기2,6400,퇴실,customer323148
한국대생 무제한 입장권,2022-03-30 17:51,2022-03-30 23:40,오전 5:49:00,선불기2,7400,퇴실,customer323148
한국대생 무제한 입장권,2022-03-30 17:34,2022-03-30 22:01,오전 4:27:00,선불기2,8400,퇴실,customer390928
한국대생 무제한 입장권,2022-03-30 17:34,2022-03-30 22:01,오전 4:27:00,선불기2,7400,퇴실,customer390928
한국대생 무제한 입장권,2022-03-30 17:31,2022-03-30 21:12,오전 3:41:00,선불기2,6900,퇴실,customer860460
무제한 입장권,2022-03-30 17:31,2022-03-30 21:12,오전 3:41:00,선불기2,6900,퇴실,customer860460
한국대생 무제한 입장권,2022-03-30 14:34,2022-03-30 15:56,오전 1:22:00,선불기2,8400,퇴실,customer655178
한국대생 무제한 입장권,2022-03-30 14:34,2022-03-30 15:56,오전 1:22:00,선불기2,7400,퇴실,customer655178
한국대생 무제한 입장권,2022-03-30 14:34,2022-03-30 15:56,오전 1:22:00,선불기2,7400,퇴실,customer655178
한국대생 무제한 입장권,2022-03-30 14:34,2022-03-30 15:56,오전 1:22:00,선불기2,6400,퇴실,customer655178
한국대생 무제한 입장권,2022-03-30 14:16,2022-03-30 17:15,오전 2:59:00,선불기2,6400,퇴실,customer564314
한국대생 무제한 입장권,2022-03-30 14:16,2022-03-30 17:15,오전 2:59:00,선불기2,6400,퇴실,customer564314
한국대생 무제한 입장권,2022-03-30 14:13,2022-03-30 15:37,오전 1:24:00,선불기2,7400,퇴실,customer898298
한국대생 무제한 입장권,2022-03-30 14:13,2022-03-30 15:37,오전 1:24:00,선불기2,7400,퇴실,customer842022
한국대생 무제한 입장권,2022-03-30 14:12,2022-03-30 15:37,오전 1:25:00,선불기2,6400,퇴실,customer455314
한국대생 무제한 입장권,2022-03-30 14:12,2022-03-30 15:37,오전 1:25:00,선불기2,6400,퇴실,customer270940
한국대생 무제한 입장권,2022-03-30 13:29,2022-03-30 14:46,오전 1:17:00,선불기2,7900,퇴실,customer473482
한국대생 무제한 입장권,2022-03-30 13:29,2022-03-30 14:46,오전 1:17:00,선불기2,6400,퇴실,customer473482
한국대생 무제한 입장권,2022-03-30 13:29,2022-03-30 14:46,오전 1:17:00,선불기2,6400,퇴실,customer473482
한국대생 무제한 입장권,2022-03-30 13:29,2022-03-30 14:46,오전 1:17:00,선불기2,6400,퇴실,customer473482
한국대생 무제한 입장권,2022-03-30 13:16,2022-03-30 19:21,오전 6:05:00,선불기2,7400,퇴실,customer538539
한국대생 무제한 입장권,2022-03-30 13:16,2022-03-30 19:21,오전 6:05:00,선불기2,7400,퇴실,customer538539
기간권,2022-03-30 12:24,2022-03-30 16:32,오전 4:08:00,선불기2,0,퇴실,customer827023
한국대생 무제한 입장권,2022-03-30 12:15,2022-03-30 14:15,오전 2:00:00,선불기2,7900,퇴실,customer362501
한국대생 무제한 입장권,2022-03-30 12:04,2022-03-30 14:34,오전 2:30:00,선불기2,7900,퇴실,customer218009
한국대생 무제한 입장권,2022-03-30 11:08,2022-03-30 13:09,오전 2:01:00,선불기2,6900,퇴실,customer507111
한국대생 무제한 입장권,2022-03-30 10:33,2022-03-30 13:08,오전 2:35:00,선불기2,8400,퇴실,customer944087
한국대생 무제한 입장권,2022-03-30 10:32,2022-03-30 13:06,오전 2:34:00,선불기2,6900,퇴실,customer879920
한국대생 무제한 입장권,2022-03-30 10:31,2022-03-30 11:36,오전 1:05:00,선불기2,7900,퇴실,customer475859
한국대생 무제한 입장권,2022-03-30 10:07,2022-03-30 15:58,오전 5:51:00,선불기2,6400,퇴실,customer239762
기간권,2022-03-30 9:08,2022-03-30 18:01,오전 8:53:00,선불기2,0,퇴실,customer392176
심야-조조무제한,2022-03-30 8:20,2022-03-30 14:37,오전 6:17:00,선불기2,6000,퇴실,customer267130
시간요금제(1시간),2022-03-30 0:06,2022-03-30 0:54,오전 12:48:00,선불기2,3000,퇴실,customer497101
심야-조조무제한,2022-03-29 22:36,2022-03-30 1:50,오전 3:14:00,선불기2,6000,퇴실,customer486928
한국대생 무제한 입장권,2022-03-29 20:15,2022-03-30 0:06,오전 3:51:00,선불기2,6400,퇴실,customer498538
한국대생 무제한 입장권,2022-03-29 20:15,2022-03-30 0:06,오전 3:51:00,선불기2,6400,퇴실,customer498538
한국대생 무제한 입장권,2022-03-29 20:15,2022-03-30 0:06,오전 3:51:00,선불기2,7400,퇴실,customer498538
한국대생 무제한 입장권,2022-03-29 20:15,2022-03-30 0:06,오전 3:51:00,선불기2,6400,퇴실,customer498538
한국대생 무제한 입장권,2022-03-29 20:15,2022-03-30 0:06,오전 3:51:00,선불기2,7400,퇴실,customer498538
한국대생 무제한 입장권,2022-03-29 20:15,2022-03-30 0:06,오전 3:51:00,선불기2,7900,퇴실,customer498538
한국대생 무제한 입장권,2022-03-29 18:03,2022-03-29 18:54,오전 12:51:00,선불기2,6400,퇴실,customer831790
한국대생 무제한 입장권,2022-03-29 18:03,2022-03-29 18:54,오전 12:51:00,선불기2,6400,퇴실,customer831790
한국대생 무제한 입장권,2022-03-29 18:03,2022-03-29 18:54,오전 12:51:00,선불기2,6400,퇴실,customer831790
한국대생 무제한 입장권,2022-03-29 18:03,2022-03-29 18:54,오전 12:51:00,선불기2,6400,퇴실,customer831790
기간권,2022-03-29 17:59,2022-03-30 2:01,오전 8:02:00,선불기2,0,퇴실,customer300766
기간권,2022-03-29 17:39,2022-03-29 22:02,오전 4:23:00,선불기2,0,퇴실,customer475199
한국대생 무제한 입장권,2022-03-29 17:35,2022-03-29 22:40,오전 5:05:00,선불기2,7400,퇴실,customer467216
한국대생 무제한 입장권,2022-03-29 17:34,2022-03-29 22:40,오전 5:06:00,선불기2,8400,퇴실,customer983308
한국대생 무제한 입장권,2022-03-29 17:33,2022-03-29 22:39,오전 5:06:00,선불기2,7400,퇴실,customer286156
한국대생 무제한 입장권,2022-03-29 16:50,2022-03-29 18:48,오전 1:58:00,선불기2,8400,퇴실,customer287186
한국대생 무제한 입장권,2022-03-29 16:49,2022-03-29 19:39,오전 2:50:00,선불기2,7400,퇴실,customer976580
한국대생 무제한 입장권,2022-03-29 16:48,2022-03-29 18:49,오전 2:01:00,선불기2,8400,퇴실,customer337452
한국대생 무제한 입장권,2022-03-29 16:47,2022-03-29 18:50,오전 2:03:00,선불기2,7400,퇴실,customer222978
한국대생 무제한 입장권,2022-03-29 16:46,2022-03-29 18:50,오전 2:04:00,선불기2,8400,퇴실,customer404171
한국대생 무제한 입장권,2022-03-29 16:31,2022-03-29 17:54,오전 1:23:00,선불기2,6900,퇴실,customer960109
한국대생 무제한 입장권,2022-03-29 16:31,2022-03-29 17:54,오전 1:23:00,선불기2,6900,퇴실,customer960109
한국대생 무제한 입장권,2022-03-29 15:54,2022-03-29 21:25,오전 5:31:00,선불기2,6900,퇴실,customer650730
한국대생 무제한 입장권,2022-03-29 15:25,2022-03-29 16:47,오전 1:22:00,선불기2,7400,퇴실,customer218028
한국대생 무제한 입장권,2022-03-29 14:50,2022-03-29 17:25,오전 2:35:00,선불기2,6900,퇴실,customer923103
한국대생 무제한 입장권,2022-03-29 13:34,2022-03-29 18:20,오전 4:46:00,선불기2,6400,퇴실,customer935817
한국대생 무제한 입장권,2022-03-29 13:34,2022-03-29 18:20,오전 4:46:00,선불기2,6400,퇴실,customer935817
한국대생 무제한 입장권,2022-03-29 13:10,2022-03-29 17:47,오전 4:37:00,선불기2,7400,퇴실,customer751113
한국대생 무제한 입장권,2022-03-29 13:10,2022-03-29 17:47,오전 4:37:00,선불기2,7900,퇴실,customer751113
한국대생 무제한 입장권,2022-03-29 13:04,2022-03-29 14:11,오전 1:07:00,선불기2,6900,퇴실,customer910790
한국대생 무제한 입장권,2022-03-29 13:03,2022-03-29 14:11,오전 1:08:00,선불기2,6900,퇴실,customer223472
한국대생 무제한 입장권,2022-03-29 13:02,2022-03-29 14:11,오전 1:09:00,선불기2,7400,퇴실,customer275017
한국대생 무제한 입장권,2022-03-29 13:02,2022-03-29 15:03,오전 2:01:00,선불기2,6900,퇴실,customer417998
한국대생 무제한 입장권,2022-03-29 13:01,2022-03-29 15:03,오전 2:02:00,선불기2,6900,퇴실,customer660357
한국대생 무제한 입장권,2022-03-29 13:01,2022-03-29 14:11,오전 1:10:00,선불기2,8400,퇴실,customer403658
한국대생 무제한 입장권,2022-03-29 12:42,2022-03-29 14:07,오전 1:25:00,선불기2,6400,퇴실,customer717664
한국대생 무제한 입장권,2022-03-29 12:41,2022-03-29 14:07,오전 1:26:00,선불기2,6900,퇴실,customer499413
한국대생 무제한 입장권,2022-03-29 12:33,2022-03-29 15:49,오전 3:16:00,선불기2,7400,퇴실,customer993844
기간권,2022-03-29 12:28,2022-03-29 16:32,오전 4:04:00,선불기2,0,퇴실,customer827023
한국대생 무제한 입장권,2022-03-29 11:42,2022-03-29 12:47,오전 1:05:00,선불기2,6400,퇴실,customer278853
한국대생 무제한 입장권,2022-03-29 11:38,2022-03-29 14:18,오전 2:40:00,선불기2,7400,퇴실,customer299449
무제한 입장권,2022-03-29 11:38,2022-03-29 14:18,오전 2:40:00,선불기2,7400,퇴실,customer299449
한국대생 무제한 입장권,2022-03-29 11:28,2022-03-29 12:52,오전 1:24:00,선불기2,7400,퇴실,customer779107
한국대생 무제한 입장권,2022-03-29 11:28,2022-03-29 12:52,오전 1:24:00,선불기2,7400,퇴실,customer779107
한국대생 무제한 입장권,2022-03-29 11:01,2022-03-29 17:58,오전 6:57:00,선불기2,6400,퇴실,customer621953
한국대생 무제한 입장권,2022-03-29 11:00,2022-03-29 17:59,오전 6:59:00,선불기2,6400,퇴실,customer440879
한국대생 무제한 입장권,2022-03-29 10:33,2022-03-29 11:48,오전 1:15:00,선불기2,7400,퇴실,customer388687
한국대생 무제한 입장권,2022-03-29 10:33,2022-03-29 11:48,오전 1:15:00,선불기2,6900,퇴실,customer388687
한국대생 무제한 입장권,2022-03-29 10:27,2022-03-29 16:44,오전 6:16:00,선불기2,6400,퇴실,customer553616
한국대생 무제한 입장권,2022-03-29 10:18,2022-03-29 12:42,오전 2:24:00,선불기2,6400,퇴실,customer317370
무제한 입장권,2022-03-29 10:17,2022-03-29 16:23,오전 6:06:00,선불기2,8400,퇴실,customer926154
기간권,2022-03-29 9:03,2022-03-29 18:01,오전 8:58:00,선불기2,0,퇴실,customer392176
심야-조조무제한,2022-03-29 8:43,2022-03-29 11:26,오전 2:43:00,선불기2,6000,퇴실,customer669717
심야-조조무제한,2022-03-29 8:43,2022-03-29 11:26,오전 2:43:00,선불기2,6000,퇴실,customer777135
심야-조조무제한,2022-03-28 23:32,2022-03-29 5:53,오전 6:21:00,선불기2,6000,퇴실,customer960036
한국대생 무제한 입장권,2022-03-28 21:37,2022-03-29 0:17,오전 2:40:00,선불기1,8100,퇴실,customer759434
한국대생 무제한 입장권,2022-03-28 21:37,2022-03-29 0:18,오전 2:41:00,선불기2,7400,퇴실,customer712064
한국대생 무제한 입장권,2022-03-28 20:59,2022-03-29 3:04,오전 6:05:00,선불기2,7400,퇴실,customer994086
한국대생 무제한 입장권,2022-03-28 20:59,2022-03-29 3:04,오전 6:05:00,선불기2,6900,퇴실,customer994086
한국대생 무제한 입장권,2022-03-28 20:11,2022-03-28 23:12,오전 3:01:00,선불기2,6400,퇴실,customer986625
한국대생 무제한 입장권,2022-03-28 20:11,2022-03-28 23:12,오전 3:01:00,선불기2,7400,퇴실,customer986625
한국대생 무제한 입장권,2022-03-28 20:01,2022-03-28 22:07,오전 2:06:00,선불기2,6400,퇴실,customer869081
한국대생 무제한 입장권,2022-03-28 20:01,2022-03-28 22:07,오전 2:06:00,선불기2,6400,퇴실,customer869081
한국대생 무제한 입장권,2022-03-28 18:33,2022-03-29 1:15,오전 6:42:00,선불기2,7400,퇴실,customer476207
한국대생 무제한 입장권,2022-03-28 18:20,2022-03-28 20:57,오전 2:37:00,선불기2,6900,퇴실,customer825527
한국대생 무제한 입장권,2022-03-28 18:20,2022-03-28 20:57,오전 2:37:00,선불기2,6900,퇴실,customer825527
한국대생 무제한 입장권,2022-03-28 18:20,2022-03-28 20:57,오전 2:37:00,선불기2,6900,퇴실,customer825527
한국대생 무제한 입장권,2022-03-28 18:20,2022-03-28 20:57,오전 2:37:00,선불기2,8400,퇴실,customer825527
한국대생 무제한 입장권,2022-03-28 18:15,2022-03-29 1:37,오전 7:22:00,선불기2,6900,퇴실,customer650730
기간권,2022-03-28 17:53,2022-03-28 23:24,오전 5:31:00,선불기2,0,퇴실,customer717034
기간권,2022-03-28 17:52,2022-03-29 2:01,오전 8:09:00,선불기2,0,퇴실,customer300766
한국대생 무제한 입장권,2022-03-28 16:49,2022-03-28 19:02,오전 2:13:00,선불기2,6400,퇴실,customer273480
한국대생 무제한 입장권,2022-03-28 16:08,2022-03-28 19:47,오전 3:39:00,선불기2,6400,퇴실,customer413755
한국대생 무제한 입장권,2022-03-28 16:08,2022-03-28 16:37,오전 12:29:00,선불기2,6400,퇴실,customer998234
한국대생 무제한 입장권,2022-03-28 16:08,2022-03-28 16:37,오전 12:29:00,선불기2,6900,퇴실,customer998234
한국대생 무제한 입장권,2022-03-28 16:06,2022-03-28 17:12,오전 1:06:00,선불기2,6400,퇴실,customer497013
한국대생 무제한 입장권,2022-03-28 16:05,2022-03-28 21:27,오전 5:22:00,선불기2,7400,퇴실,customer659667
한국대생 무제한 입장권,2022-03-28 16:05,2022-03-28 21:27,오전 5:22:00,선불기2,6900,퇴실,customer659667
한국대생 무제한 입장권,2022-03-28 15:22,2022-03-28 16:21,오전 12:59:00,선불기2,8100,퇴실,customer927574
한국대생 무제한 입장권,2022-03-28 15:22,2022-03-28 16:21,오전 12:59:00,선불기2,6400,퇴실,customer927574
한국대생 무제한 입장권,2022-03-28 15:04,2022-03-28 21:04,오전 6:00:00,선불기2,6400,퇴실,customer756411
한국대생 무제한 입장권,2022-03-28 15:03,2022-03-28 18:41,오전 3:38:00,선불기2,6900,퇴실,customer403829
한국대생 무제한 입장권,2022-03-28 15:03,2022-03-28 21:03,오전 5:59:00,선불기2,7400,퇴실,customer239797
한국대생 무제한 입장권,2022-03-28 15:00,2022-03-28 17:52,오전 2:52:00,선불기2,7400,퇴실,customer777622
한국대생 무제한 입장권,2022-03-28 14:49,2022-03-28 16:52,오전 2:03:00,선불기2,7900,퇴실,customer623439
한국대생 무제한 입장권,2022-03-28 14:49,2022-03-28 16:52,오전 2:03:00,선불기2,6400,퇴실,customer623439
한국대생 무제한 입장권,2022-03-28 14:26,2022-03-28 16:20,오전 1:54:00,선불기2,6400,퇴실,customer232582
한국대생 무제한 입장권,2022-03-28 14:25,2022-03-28 19:40,오전 5:15:00,선불기2,6400,퇴실,customer409147
한국대생 무제한 입장권,2022-03-28 14:23,2022-03-28 19:40,오전 5:17:00,선불기2,6400,퇴실,customer416215
한국대생 무제한 입장권,2022-03-28 14:09,2022-03-28 19:39,오전 5:30:00,선불기2,6400,퇴실,customer861644
한국대생 무제한 입장권,2022-03-28 13:10,2022-03-28 18:50,오전 5:40:00,선불기2,7900,퇴실,customer432183
한국대생 무제한 입장권,2022-03-28 13:10,2022-03-28 18:50,오전 5:40:00,선불기2,6900,퇴실,customer432183
무제한 입장권,2022-03-28 13:02,2022-03-28 21:08,오전 8:06:00,선불기2,7400,퇴실,customer561168
기간권,2022-03-28 12:28,2022-03-28 16:31,오전 4:03:00,선불기1,0,퇴실,customer827023
