결제일시,판매위치,상품명,결제방식,비고,판매수량,결제금액,고객
2022-03-29 13:10,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer440879
2022-03-29 11:44,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer278853
2022-03-29 11:24,선불기1,라면,신용카드,결제완료,1,"4,000",customer553616
2022-03-29 11:06,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer621953
2022-03-28 22:00,카운터,쿠키(오트밀),신용카드,결제완료,1,"1,500",
2022-03-28 22:00,카운터,소떡소떡,신용카드,결제완료,1,"3,000",
2022-03-28 21:32,선불기1,레몬에이드,신용카드,결제완료,1,"5,400",customer476207
2022-03-28 21:16,선불기1,초코머핀,신용카드,결제완료,1,"3,500",customer869081
2022-03-28 15:42,선불기1,만두,신용카드,결제완료,1,"3,500",customer556293
2022-03-28 15:16,선불기1,소떡소떡,신용카드,결제완료,1,"3,000",customer556293
2022-03-28 15:17,선불기1,라면,신용카드,결제완료,1,"4,000",customer861644
2022-03-28 15:17,선불기1,(면)치즈추가,신용카드,결제완료,1,500,customer861644
2022-03-27 21:43,카운터,맵단대패삼겹덮밥,신용카드,결제완료,1,"8,500",
2022-03-27 19:46,선불기1,단짠대패삼겹덮밥,신용카드,결제완료,1,"8,500",customer557108
2022-03-27 19:46,선불기1,자몽에이드,신용카드,결제완료,1,"5,400",customer557108
2022-03-27 19:47,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer920430
2022-03-27 18:56,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer294132
2022-03-27 18:56,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer294132
2022-03-27 18:56,선불기1,(면)계란후라이 추가-불닭/짜장,신용카드,결제완료,1,"1,000",customer294132
2022-03-27 18:43,선불기1,맵단대패삼겹덮밥,신용카드,결제완료,1,"8,500",customer911896
2022-03-27 18:43,선불기1,라면,신용카드,결제완료,1,"4,000",customer911896
2022-03-27 18:13,선불기1,치즈불고기볶음밥,신용카드,결제완료,1,"6,400",customer715620
2022-03-27 18:13,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer715620
2022-03-27 18:13,선불기1,라면,신용카드,결제완료,1,"4,000",customer715620
2022-03-27 18:13,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer715620
2022-03-27 17:06,선불기1,초코라떼(ICE),신용카드,결제완료,1,"4,900",customer579767
2022-03-27 17:06,선불기1,치즈감자튀김,신용카드,결제완료,1,"5,900",customer579767
2022-03-27 17:00,선불기1,아메리카노(ICE),신용카드,결제완료,1,"4,400",customer579767
2022-03-27 17:00,선불기1,아메리카노(ICE),신용카드,결제완료,1,"4,400",customer579767
2022-03-27 17:00,선불기1,초코라떼(ICE),신용카드,결제완료,1,"4,900",customer579767
2022-03-27 16:59,선불기1,라면,신용카드,결제완료,1,"4,000",customer501329
2022-03-27 16:19,선불기1,쿠키(초코칩),현금,결제완료,1,"1,500",customer419087
2022-03-27 15:13,선불기1,소떡소떡,현금,결제완료,1,"3,000",customer419087
2022-03-27 15:13,선불기1,소떡소떡,현금,결제완료,1,"3,000",customer419087
2022-03-27 14:40,카운터,쿠키(마카다미아),현금,결제완료,1,"1,500",
2022-03-27 14:40,카운터,크로플,현금,결제완료,1,"5,500",
2022-03-27 14:41,선불기1,라면,현금,결제완료,1,"4,000",customer886923
2022-03-27 14:39,선불기1,라면,현금,결제완료,1,"4,000",customer016004
2022-03-27 14:34,선불기1,쿠키(초코칩),현금,결제완료,1,"1,500",customer836036
2022-03-27 14:24,카운터,초코라떼(ICE),현금,결제완료,1,"4,900",customer393921
2022-03-27 14:06,선불기1,소떡소떡,현금,결제완료,1,"3,000",customer675297
2022-03-27 14:06,선불기1,쿠키(초코칩),현금,결제완료,1,"1,500",customer675297
2022-03-27 14:06,선불기1,치즈케이크,현금,결제완료,1,"4,000",customer675297
2022-03-27 13:00,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer979011
2022-03-27 13:01,선불기1,불닭볶음면,신용카드,결제완료,1,"4,500",customer898458
2022-03-27 13:01,선불기1,(면)치즈추가,신용카드,결제완료,1,500,customer898458
2022-03-27 13:01,선불기1,비엔나소세지(토핑),신용카드,결제완료,1,"1,000",customer898458
2022-03-26 20:17,선불기2,크로플,신용카드,결제완료,1,"5,500",customer552172
2022-03-26 20:17,선불기1,아메리카노(ICE),신용카드,판매취소,-1,"-4,400",
2022-03-26 20:14,선불기2,아메리카노(ICE),신용카드,결제완료,1,"4,400",customer898770
2022-03-26 20:16,선불기1,아메리카노(HOT),신용카드,판매취소,-1,"-3,900",
2022-03-26 20:16,선불기1,크로플,신용카드,판매취소,-1,"-5,500",
2022-03-26 20:13,선불기2,아메리카노(HOT),신용카드,결제완료,1,"3,900",customer552172
2022-03-26 20:13,선불기2,크로플,신용카드,결제완료,1,"5,500",customer552172
2022-03-26 17:25,선불기1,아이스티,신용카드,결제완료,1,"3,900",customer994026
2022-03-26 16:52,선불기1,한돈고추장불고기덮밥,신용카드,결제완료,1,"7,500",customer530463
2022-03-26 16:52,선불기1,감자튀김,신용카드,결제완료,1,"4,900",customer530463
2022-03-26 16:52,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer530463
2022-03-26 14:40,선불기1,불닭볶음면,신용카드,결제완료,1,"4,500",customer414895
2022-03-26 14:40,선불기1,(면)치즈추가,신용카드,결제완료,1,500,customer414895
2022-03-26 14:40,선불기1,새우볶음밥,신용카드,결제완료,1,"5,900",customer414895
2022-03-26 14:28,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer439396
2022-03-26 11:53,선불기1,레몬에이드,신용카드,결제완료,1,"5,400",customer484215
2022-03-25 17:02,선불기1,단짠대패삼겹덮밥,신용카드,결제완료,1,"8,500",customer862814
2022-03-25 17:03,선불기1,라면,신용카드,결제완료,1,"4,000",customer300202
2022-03-25 16:12,선불기1,아메리카노(ICE),신용카드,결제완료,1,"4,400",customer279438
2022-03-25 16:13,카운터,아메리카노(ICE),신용카드,판매취소,-1,"-4,400",
2022-03-25 16:06,선불기1,딸기스무디,신용카드,결제완료,1,"5,900",customer873304
2022-03-25 15:49,선불기1,아메리카노(ICE),신용카드,결제완료,1,"4,400",customer279438
2022-03-25 15:50,카운터,아메리카노(ICE),신용카드,판매취소,-1,"-4,400",
2022-03-25 15:17,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer221102
2022-03-25 15:17,선불기1,새우볶음밥,신용카드,결제완료,1,"5,900",customer221102
2022-03-25 15:17,선불기1,감자튀김,신용카드,결제완료,1,"4,900",customer221102
2022-03-25 15:17,선불기1,낙지볶음밥,신용카드,결제완료,1,"6,400",customer221102
2022-03-24 21:35,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer901892
2022-03-24 21:35,선불기1,라면,신용카드,결제완료,1,"4,000",customer901892
2022-03-24 21:35,선불기1,치킨카라아케 6pc,신용카드,결제완료,1,"4,500",customer901892
2022-03-24 19:36,선불기1,아메리카노(ICE),신용카드,결제완료,1,"4,400",customer901892
2022-03-24 18:39,선불기1,낙지볶음밥,신용카드,결제완료,1,"6,400",customer903463
2022-03-24 17:51,선불기1,라면,신용카드,결제완료,1,"4,000",customer861644
2022-03-24 17:51,선불기1,(면)치즈추가,신용카드,결제완료,1,500,customer861644
2022-03-24 12:07,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer897964
2022-03-24 12:07,선불기1,(면)계란후라이 추가-불닭/짜장,신용카드,결제완료,1,"1,000",customer897964
2022-03-24 12:02,선불기2,낙지볶음밥,신용카드,결제완료,1,"6,400",customer945633
2022-03-24 11:38,선불기1,라면,신용카드,결제완료,1,"4,000",customer414283
2022-03-24 11:38,선불기1,비엔나소세지(토핑),신용카드,결제완료,1,"1,000",customer414283
2022-03-24 10:39,선불기1,라면,신용카드,결제완료,1,"4,000",customer949607
2022-03-24 10:39,선불기1,초코라떼(ICE),신용카드,결제완료,1,"4,900",customer949607
2022-03-23 20:03,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer428023
2022-03-23 20:04,선불기1,불닭볶음면,신용카드,결제완료,1,"4,500",customer772724
2022-03-23 20:04,선불기1,(면)치즈추가,신용카드,결제완료,1,500,customer772724
2022-03-23 18:30,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer919345
2022-03-23 18:30,선불기1,(밥)슈레드치즈추가,신용카드,결제완료,1,"1,500",customer919345
2022-03-23 18:30,선불기1,순살닭다리덮밥,신용카드,결제완료,1,"8,000",customer919345
2022-03-23 18:10,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer630480
2022-03-23 18:10,선불기1,낙지볶음밥,신용카드,결제완료,1,"6,400",customer630480
2022-03-23 17:35,선불기1,낙지볶음밥,신용카드,결제완료,1,"6,400",customer248143
2022-03-23 17:37,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer534349
2022-03-23 15:46,선불기1,크로플,신용카드,결제완료,1,"5,500",customer919345
2022-03-23 15:46,선불기1,치즈케이크,신용카드,결제완료,1,"4,000",customer919345
2022-03-23 11:51,선불기1,초코머핀,신용카드,결제완료,1,"3,500",customer630480
2022-03-23 11:51,선불기1,치킨카라아케 10pc,신용카드,결제완료,1,"7,000",customer630480
2022-03-23 11:55,선불기1,라면,신용카드,결제완료,1,"4,000",customer514741
2022-03-23 11:55,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer514741
2022-03-22 16:52,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer966212
2022-03-22 16:52,선불기1,라면,신용카드,결제완료,1,"4,000",customer966212
2022-03-22 11:44,선불기1,아메리카노(HOT),신용카드,결제완료,1,"3,900",customer414283
2022-03-22 11:44,선불기1,블루베리머핀,신용카드,결제완료,1,"3,500",customer414283
2022-03-22 10:15,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer514741
2022-03-21 21:46,선불기1,카페모카(HOT),신용카드,결제완료,1,"4,900",customer476207
2022-03-21 20:57,선불기1,새우볶음밥,신용카드,결제완료,1,"5,900",customer468591
2022-03-21 20:57,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer468591
2022-03-21 20:57,선불기1,(밥)체다치즈추가,신용카드,결제완료,1,500,customer468591
2022-03-21 20:57,선불기1,만두라면,신용카드,결제완료,1,"5,000",customer468591
2022-03-21 20:57,선불기1,소떡소떡,신용카드,결제완료,1,"3,000",customer468591
2022-03-21 14:53,선불기1,소떡소떡,신용카드,결제완료,1,"3,000",customer879920
2022-03-21 12:57,선불기1,라면,신용카드,결제완료,1,"4,000",customer384598
2022-03-20 20:41,선불기1,초코머핀,신용카드,결제완료,1,"3,500",customer278852
2022-03-20 20:05,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer278852
2022-03-20 20:06,선불기1,치즈불고기볶음밥,신용카드,결제완료,1,"6,400",customer275507
2022-03-20 20:03,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer722108
2022-03-20 18:24,선불기1,초코머핀,신용카드,결제완료,1,"3,500",customer722108
2022-03-20 15:19,선불기1,소떡소떡,신용카드,결제완료,1,"3,000",customer852255
2022-03-20 15:06,선불기1,소떡소떡,신용카드,결제완료,1,"3,000",customer378792
2022-03-20 15:06,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer378792
2022-03-20 13:28,선불기1,크로플,신용카드,결제완료,1,"5,500",customer206880
2022-03-20 10:36,선불기1,아메리카노(ICE),신용카드,결제완료,1,"4,400",customer871473
2022-03-19 21:38,선불기1,감자튀김,신용카드,결제완료,1,"4,900",customer914635
2022-03-19 21:38,선불기1,라면,신용카드,결제완료,1,"4,000",customer914635
2022-03-19 21:33,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer424920
2022-03-19 20:42,선불기1,라면,신용카드,결제완료,1,"4,000",customer581760
2022-03-19 15:39,선불기1,치즈감자튀김,신용카드,결제완료,1,"5,900",customer247773
2022-03-19 15:39,선불기1,버팔로윙 6pc,신용카드,결제완료,1,"5,000",customer247773
2022-03-19 15:39,선불기1,불닭볶음면,신용카드,결제완료,1,"4,500",customer247773
2022-03-19 15:39,선불기1,(면)계란후라이 추가-불닭/짜장,신용카드,결제완료,1,"1,000",customer247773
2022-03-19 14:15,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer339975
2022-03-19 14:15,선불기1,(면)계란후라이 추가-불닭/짜장,신용카드,결제완료,1,"1,000",customer339975
2022-03-19 14:15,선불기1,만두,신용카드,결제완료,1,"3,500",customer339975
2022-03-19 11:21,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer665146
2022-03-19 11:21,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer665146
2022-03-18 16:23,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer662269
2022-03-18 16:23,선불기1,초코머핀,신용카드,결제완료,1,"3,500",customer662269
2022-03-18 16:22,선불기1,(면)계란후라이 추가-불닭/짜장,신용카드,결제완료,1,"1,000",customer275017
2022-03-18 16:22,선불기1,(면)계란후라이 추가-불닭/짜장,신용카드,결제완료,1,"1,000",customer275017
2022-03-18 16:22,선불기1,(면)치즈추가,신용카드,결제완료,1,500,customer275017
2022-03-18 16:22,선불기1,(면)치즈추가,신용카드,결제완료,1,500,customer275017
2022-03-18 16:22,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer275017
2022-03-18 16:22,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer275017
2022-03-18 16:20,선불기1,순살닭다리덮밥,신용카드,결제완료,1,"8,000",customer419667
2022-03-18 11:17,선불기1,자몽에이드,신용카드,결제완료,1,"5,400",customer512602
2022-03-18 10:32,선불기1,단짠대패삼겹덮밥,신용카드,결제완료,1,"8,500",customer512602
2022-03-18 10:32,선불기1,버팔로윙 6pc,신용카드,결제완료,1,"5,000",customer512602
2022-03-17 18:25,선불기1,새우볶음밥,신용카드,결제완료,1,"5,900",customer228029
2022-03-17 18:25,선불기1,라면,신용카드,결제완료,1,"4,000",customer939838
2022-03-17 16:06,선불기1,소떡소떡,현금,결제완료,1,"3,000",customer936338
2022-03-17 16:07,선불기1,한돈고추장불고기덮밥,신용카드,결제완료,1,"7,500",customer857366
2022-03-17 16:08,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer366500
2022-03-17 16:08,선불기1,레몬에이드,신용카드,결제완료,1,"5,400",customer366500
2022-03-17 16:09,선불기1,레몬에이드,현금,결제완료,1,"5,400",customer936338
2022-03-17 16:09,선불기1,자몽에이드,신용카드,결제완료,1,"5,400",customer857366
2022-03-17 13:18,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer633641
2022-03-17 13:18,선불기1,소떡소떡,신용카드,결제완료,1,"3,000",customer633641
2022-03-17 13:17,선불기1,순살닭다리덮밥,신용카드,결제완료,1,"8,000",customer766086
2022-03-17 13:14,선불기1,맵단대패삼겹덮밥,신용카드,결제완료,1,"8,500",customer256876
2022-03-17 13:14,선불기1,단짠대패삼겹덮밥,신용카드,결제완료,1,"8,500",customer589933
2022-03-17 13:15,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer747578
2022-03-17 12:41,선불기1,샷추가,신용카드,결제완료,1,500,customer912673
2022-03-17 12:31,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer459143
2022-03-16 21:20,선불기1,라면,신용카드,결제완료,1,"4,000",customer934414
2022-03-16 19:17,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer825343
2022-03-16 19:17,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer825343
2022-03-16 19:17,선불기1,블루베리머핀,신용카드,결제완료,1,"3,500",customer825343
2022-03-16 17:55,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer913629
2022-03-16 13:52,선불기1,낙지볶음밥,신용카드,결제완료,1,"6,400",customer944087
2022-03-16 13:53,선불기1,낙지볶음밥,신용카드,결제완료,1,"6,400",customer475859
2022-03-16 13:53,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer879920
2022-03-16 12:57,선불기1,불닭볶음면,신용카드,결제완료,1,"4,500",customer313632
2022-03-16 12:57,선불기1,(면)계란후라이 추가-불닭/짜장,신용카드,결제완료,1,"1,000",customer313632
2022-03-16 12:57,선불기1,버팔로윙 6pc,신용카드,결제완료,1,"5,000",customer313632
2022-03-16 12:36,선불기1,라면,현금,결제완료,1,"4,000",customer866869
2022-03-16 12:36,선불기1,라면,현금,결제완료,1,"4,000",customer866869
2022-03-16 12:36,선불기1,(면)계란추가-국물라면,현금,결제완료,1,500,customer866869
2022-03-16 12:36,선불기1,짜장라면,현금,결제완료,1,"4,500",customer866869
2022-03-16 11:20,선불기1,새우볶음밥,신용카드,결제완료,1,"5,900",customer995235
2022-03-16 11:20,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer995235
2022-03-15 20:27,선불기1,맵단대패삼겹덮밥,신용카드,결제완료,1,"8,500",customer991128
2022-03-15 20:27,선불기1,크로플,신용카드,결제완료,1,"5,500",customer991128
2022-03-15 18:54,선불기1,라면,신용카드,결제완료,1,"4,000",customer890333
2022-03-15 18:54,선불기1,치즈불고기볶음밥,신용카드,결제완료,1,"6,400",customer890333
2022-03-15 18:54,선불기1,버팔로윙 10pc,신용카드,결제완료,1,"8,000",customer890333
2022-03-15 17:35,선불기1,초코머핀,신용카드,결제완료,1,"3,500",customer722108
2022-03-15 17:20,선불기1,초코머핀,신용카드,결제완료,1,"3,500",customer722108
2022-03-15 17:21,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer913629
2022-03-15 15:07,선불기1,블루베리머핀,신용카드,결제완료,1,"3,500",customer879598
2022-03-15 15:07,선불기1,아메리카노(ICE),신용카드,결제완료,1,"4,400",customer879598
2022-03-15 15:07,선불기1,자몽에이드,신용카드,결제완료,1,"5,400",customer879598
2022-03-15 13:48,선불기1,만두라면,신용카드,결제완료,1,"5,000",customer863228
2022-03-15 13:48,선불기1,소떡소떡,신용카드,결제완료,1,"3,000",customer863228
2022-03-15 13:17,선불기1,소떡소떡,현금,결제완료,1,"3,000",customer555149
2022-03-15 10:40,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer299449
2022-03-15 10:40,선불기1,라면,신용카드,결제완료,1,"4,000",customer299449
2022-03-15 10:13,선불기1,아메리카노(ICE),신용카드,결제완료,1,"4,400",customer555149
2022-03-15 10:13,선불기1,쿠키(오트밀),신용카드,결제완료,1,"1,500",customer555149
2022-03-14 21:52,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer569523
2022-03-14 19:28,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer825343
2022-03-14 19:28,선불기1,라면,신용카드,결제완료,1,"4,000",customer825343
2022-03-14 19:28,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer825343
2022-03-14 16:34,선불기1,초코라떼(HOT),신용카드,결제완료,1,"4,900",customer575860
2022-03-14 16:34,선불기1,고구마라떼(HOT),신용카드,결제완료,1,"4,900",customer575860
2022-03-14 16:34,선불기1,플레인요거트스무디,신용카드,결제완료,1,"5,900",customer575860
2022-03-14 16:12,선불기1,자몽차(HOT),신용카드,결제완료,1,"4,900",customer879598
2022-03-14 12:17,선불기1,오늘은 순살닭다리 덮밥,신용카드,결제완료,1,"9,000",customer571779
2022-03-14 00:01,카운터,쿠키(초코칩),신용카드,결제완료,1,"1,500",
2022-03-13 19:23,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer366419
2022-03-13 19:23,선불기1,라면,신용카드,결제완료,1,"4,000",customer366419
2022-03-13 19:23,선불기1,(면)치즈추가,신용카드,결제완료,1,500,customer366419
2022-03-13 19:10,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer501329
2022-03-13 18:07,선불기1,소떡소떡,신용카드,결제완료,1,"3,000",customer747576
2022-03-13 17:30,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer834355
2022-03-13 17:17,선불기1,카모마일(ICE),신용카드,결제완료,1,"4,400",customer221967
2022-03-13 17:04,선불기1,순살닭다리덮밥,신용카드,결제완료,1,"8,000",customer988220
2022-03-13 17:03,선불기1,순살닭다리덮밥,신용카드,결제완료,1,"8,000",customer349744
2022-03-13 17:03,선불기1,(밥)슈레드치즈추가,신용카드,결제완료,1,"1,500",customer349744
2022-03-13 15:34,선불기1,맵단대패삼겹덮밥,신용카드,결제완료,1,"8,500",customer931430
2022-03-13 15:34,선불기1,라면,신용카드,결제완료,1,"4,000",customer931430
2022-03-13 15:34,선불기1,만두,신용카드,결제완료,1,"3,500",customer931430
2022-03-12 21:01,선불기1,아메리카노(ICE),신용카드,결제완료,1,"4,400",customer339975
2022-03-12 18:55,선불기1,라면,신용카드,결제완료,1,"4,000",customer535623
2022-03-12 18:55,선불기1,새우볶음밥,신용카드,결제완료,1,"5,900",customer535623
2022-03-12 18:08,선불기1,치즈감자튀김,신용카드,결제완료,1,"5,900",customer271523
2022-03-12 18:08,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer271523
2022-03-12 18:08,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer271523
2022-03-12 18:08,선불기1,치즈불고기볶음밥,신용카드,결제완료,1,"6,400",customer271523
2022-03-12 18:08,선불기1,버팔로윙 10pc,신용카드,결제완료,1,"8,000",customer271523
2022-03-12 17:42,선불기1,치킨카라아케 6pc,신용카드,결제완료,1,"4,500",customer339975
2022-03-12 17:42,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer339975
2022-03-12 16:41,선불기1,크로플,신용카드,결제완료,1,"5,500",customer535623
2022-03-12 14:56,선불기1,라면,신용카드,결제완료,1,"4,000",customer241493
2022-03-12 14:56,선불기1,(면)계란추가-국물라면,신용카드,결제완료,1,500,customer241493
2022-03-11 11:25,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer250038
2022-03-11 11:25,선불기1,라면,신용카드,결제완료,1,"4,000",customer250038
2022-03-10 18:19,선불기1,소떡소떡,신용카드,결제완료,1,"3,000",customer777732
2022-03-10 17:13,선불기1,불닭볶음면,신용카드,결제완료,1,"4,500",customer407675
2022-03-10 17:14,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer407675
2022-03-10 15:56,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer940217
2022-03-10 15:56,선불기1,(면)치즈추가,신용카드,결제완료,1,500,customer940217
2022-03-10 15:56,선불기1,(면)계란후라이 추가-불닭/짜장,신용카드,결제완료,1,"1,000",customer940217
2022-03-10 15:56,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer940217
2022-03-10 15:27,선불기1,낙지볶음밥,신용카드,결제완료,1,"6,400",customer673186
2022-03-10 15:27,선불기1,라면,신용카드,결제완료,1,"4,000",customer673186
2022-03-10 15:27,선불기1,(면)계란추가-국물라면,신용카드,결제완료,1,500,customer673186
2022-03-10 15:27,선불기1,소떡소떡,신용카드,결제완료,1,"3,000",customer673186
2022-03-10 15:20,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer630480
2022-03-10 12:29,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer317370
2022-03-10 10:12,선불기1,라면,신용카드,결제완료,1,"4,000",customer235271
2022-03-09 18:52,선불기1,쿠키(초코칩),신용카드,결제완료,1,"1,500",customer314003
2022-03-09 13:48,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer620209
2022-03-09 13:48,선불기1,소떡소떡,신용카드,결제완료,1,"3,000",customer620209
2022-03-09 12:03,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer851362
2022-03-09 12:03,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer851362
2022-03-09 10:22,선불기1,라면,신용카드,결제완료,1,"4,000",customer977070
2022-03-09 10:22,선불기1,소떡소떡,신용카드,결제완료,1,"3,000",customer977070
2022-03-09 10:22,선불기1,자몽에이드,신용카드,결제완료,1,"5,400",customer977070
2022-03-08 15:58,선불기1,플레인요거트스무디,신용카드,결제완료,1,"5,900",customer381223
